State_Num,City_Num,EMPLOYER_num,OCCUPATION_num,party_label
37,5866,5,1,1
7,490,2,2,1
35,166,76972,4,1
21,1526,1,1,0
16,100,2342,166,1
4,5476,5,2,1
2,2,183956,4,0
12,234,1469,68,1
20,4343,3546,180,1
47,882,2,2,1
19,302,2,1,1
5,20,1608,23,0
37,437,1,1,0
41,2569,929,7,1
17,35,2,2,1
12,13361,6392,42,1
16,1821,4,5,1
16,1148,2,2,1
22,2352,1,1,0
6,9434,1,1,0
29,4201,1,1,0
37,8952,3173,562,1
6,704,8935,415,1
10,1179,2,2,1
1,646,5,2,1
51,1027,3,1,1
38,797,2,2,1
47,882,2,2,1
28,4045,11,159,0
12,7538,5,1,0
40,8262,1,1,0
12,276,40,7,1
34,162,2,2,1
40,2486,1,1,1
12,832,3,2,1
2,2053,1,1,0
10,715,3747,12,1
12,141,2,2,1
19,5776,7,18,0
4,2651,1,1,0
35,681,2,2,1
12,16,2,2,1
12,193,7501,85,1
17,121,34067,38,1
19,18849,1,1,0
12,10151,13995,1636,0
16,898,818,4,1
6,336,3,3,1
15,471,90483,9,1
15,3512,92,15758,1
37,437,1,1,0
2,2,939,4,1
41,14031,3,3,0
10,1193,1,1,0
5,45,2,2,1
44,7287,5,2,1
6,1867,2,2,1
47,1915,1,1,0
21,1583,2,2,1
10,3771,34151,178,0
16,2891,21889,120,0
14,25,3,3,1
40,4347,5,1,0
12,1192,2,2,1
35,878,126,157,0
4,254,2,2,1
36,2469,1,1,0
28,3058,1,1,0
6,2927,1,1,0
37,3432,3,3,1
5,43,1,1,0
6,456,5,1,1
38,2585,35650,71,0
9,11,1,1,0
16,1508,3,1,1
39,1939,2,2,1
5,2788,2,2,1
36,486,2,2,1
12,220,2,2,1
39,256,2,2,1
6,336,2,2,1
12,395,2,2,1
40,3528,1,1,0
8,3547,1,1,0
37,2192,1,1,0
2,1053,2573,10432,0
48,5053,1,1,0
10,3077,9,43,0
5,440,1,1,0
17,3144,9055,9162,0
12,210,24134,15348,0
21,130,1003,44,1
2,202,206,17,1
39,6230,1,1,0
3,244,7,18,0
12,1446,2,1,1
34,4165,1,1,0
36,247,4,6,1
36,2773,1,1,0
42,904,31,147,1
2,2,2,2,1
36,243,1,1,0
20,364,19134,393,1
16,2966,1,1,0
20,61,4,378,1
37,3728,2,2,1
46,1947,2,2,1
4,1290,1,1,0
15,452,1,1,0
2,4025,75930,13,0
20,341,523,206,1
15,450,14091,1618,0
4,326,10760,4219,1
12,1141,4,572,1
21,112,2,2,1
24,4717,2,2,1
12,843,1,1,0
2,5669,2,2,1
16,3816,1,1,0
19,2872,1,1,0
17,311,2,2,1
30,535,1,1,0
7,413,4,243,0
17,4618,681,6,1
12,888,1,1,0
5,864,1,1,0
3,13467,430,725,1
40,1082,2,2,1
23,393,106133,72,1
3,3060,3,2,1
6,3233,1,1,0
7,288,1,1,0
2,887,595,224,1
2,2119,3,2,1
39,3010,2,2,1
35,675,5,1,0
7,648,2,2,1
27,37,174334,77,0
37,6656,3,3,0
12,1370,1,1,0
12,430,3,2,1
5,1521,1,1,0
12,6064,5,2,1
28,1554,2,2,1
21,3270,1,1,0
15,168,2,2,1
8,990,1,1,0
36,6432,1,1,0
17,5551,2,2,1
2,3513,2,2,1
38,118,5,2,1
12,3065,2,2,1
4,127,3,2,1
26,4585,1,1,0
5,337,1,1,0
20,1934,2,2,1
